<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.25,?,256128.0,1048576.0,✓,✗,✗,✓,75.60 ± 1.55 / 81.93 ± 1.32,73.24 ± 1.25 / 53.53 ± 1.50,80.08 ± 2.20 / 89.72 ± 1.13,73.99 ± 1.04 / 49.69 ± 1.09,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0,16.7.1.dev0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.28,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,72.07 ± 0.98 / 79.47 ± 0.95,80.41 ± 0.70 / 67.99 ± 0.57,75.49 ± 1.89 / 87.66 ± 0.94,72.44 ± 0.52 / 43.53 ± 0.86,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.35,?,?,?,✓,✗,✗,✓,66.71 ± 0.76 / 76.79 ± 0.59,78.88 ± 0.76 / 55.79 ± 0.94,74.36 ± 1.23 / 86.60 ± 0.69,73.46 ± 0.49 / 48.95 ± 0.62,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3.1-flash-lite-preview'>gemini/gemini-3.1-flash-lite-preview (zero-shot, val)</a>",🤔,1.37,?,256128.0,1048576.0,✓,✗,✗,✓,69.24 ± 1.05 / 77.51 ± 0.86,72.96 ± 0.79 / 45.43 ± 0.88,79.29 ± 0.87 / 89.18 ± 0.48,71.57 ± 0.58 / 43.10 ± 0.71,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0,16.17.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.43,?,256128.0,1048576.0,✓,✗,✗,✓,71.82 ± 1.80 / 79.30 ± 1.35,71.12 ± 1.49 / 45.49 ± 1.66,74.07 ± 1.88 / 85.80 ± 1.06,67.41 ± 0.96 / 32.27 ± 1.17,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.46,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,67.44 ± 1.06 / 75.98 ± 1.03,78.44 ± 0.81 / 64.77 ± 0.69,66.16 ± 2.16 / 82.99 ± 1.09,70.68 ± 0.57 / 40.74 ± 1.08,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.46,?,256128.0,1048576.0,✓,✗,✗,✓,69.78 ± 1.53 / 77.37 ± 1.39,65.56 ± 1.61 / 39.49 ± 0.97,77.58 ± 2.01 / 88.69 ± 1.02,67.41 ± 0.96 / 32.27 ± 1.17,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.46,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,65.73 ± 1.06 / 74.91 ± 1.14,82.88 ± 0.98 / 70.41 ± 1.11,64.33 ± 2.66 / 81.70 ± 1.50,74.66 ± 2.05 / 55.24 ± 3.71,16.5.0.dev0,15.9.1,16.5.0.dev0,15.9.1
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.48,?,?,400000.0,✓,✗,✗,✓,68.44 ± 1.14 / 76.30 ± 0.89,80.88 ± 1.12 / 51.79 ± 0.77,62.31 ± 1.59 / 80.33 ± 0.85,73.01 ± 0.57 / 48.76 ± 0.67,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-Base'>Qwen/Qwen3.5-35B-A3B-Base (val)</a>,🤔,1.50,35951817904.0,248044.0,8192.0,✓,✗,(✓),✓,63.98 ± 1.08 / 75.30 ± 0.77,80.18 ± 1.21 / 60.36 ± 1.13,67.65 ± 1.36 / 83.57 ± 0.67,69.23 ± 0.90 / 52.88 ± 0.70,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.52,72706203648.0,152064.0,32768.0,✗,✗,(✓),✗,60.18 ± 2.24 / 71.68 ± 1.65,76.17 ± 2.09 / 58.41 ± 3.29,70.16 ± 3.18 / 84.11 ± 1.73,76.01 ± 1.63 / 53.45 ± 3.38,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.60,?,?,400000.0,✓,✗,✗,✓,68.61 ± 1.25 / 76.68 ± 0.93,76.71 ± 1.10 / 49.26 ± 0.74,60.16 ± 1.78 / 78.99 ± 0.93,72.03 ± 0.42 / 46.68 ± 0.45,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
